Type,Site,Date,Compound,Conc,Volume
TP,1,5/22/2015,Oxyfluorfen,,
TP,1,5/22/2015,Bifenthrin,,
TP,1,5/22/2015,Fludioxonil,,
TP,1,5/22/2015,Endosulfan sulfate,,
TP,1,5/22/2015,Ethalfluralin,,
TP,1,5/22/2015,Pendimethalin,,
TP,1,5/22/2015,Benfluralin,,
TP,1,5/22/2015,Diazinon,,
TP,1,5/22/2015,Malathion,,
TP,1,5/22/2015,Oxadiazon,,
TP,1,5/22/2015,Piperonyl butoxide,,
TP,1,5/22/2015,Propyzamide,,
TP,1,5/22/2015,THPI (Tetrahydrophthalimide),,
TP,1,6/23/2015,Metolachlor,0.14,
TP,1,6/23/2015,Tebuconazole,,
TP,1,6/23/2015,2-Phenylphenol,,
TP,1,6/23/2015,Flutolanil,,
TP,1,6/23/2015,Biphenyl,,
TP,1,6/23/2015,Atrazine,,
TP,1,6/23/2015,Metalaxyl,,
TP,1,6/23/2015,Acetochlor,,
TP,1,6/23/2015,Alachlor,,
TP,1,6/23/2015,Anthraquione,,
TP,1,6/23/2015,Endosulfan Lactone,,
TP,1,6/23/2015,DEA,,
TP,1,6/23/2015,Endosulfan ether,,
TP,1,6/23/2015,Cyprodinil,,
TP,1,6/23/2015,Triadimefon,,
TP,1,6/23/2015,Chlorothalonil,,
TP,1,6/23/2015,Diphenylamine,,
TP,1,6/23/2015,Fipronil,,
TP,1,6/23/2015,Myclobutanil,,
TP,1,6/23/2015,Oxyfluorfen,,
TP,1,6/23/2015,Bifenthrin,,
TP,1,6/23/2015,Fludioxonil,,
TP,1,6/23/2015,Endosulfan sulfate,,
TP,1,6/23/2015,Ethalfluralin,,
TP,1,6/23/2015,Pendimethalin,,
TP,1,6/23/2015,Benfluralin,,
TP,1,6/23/2015,Diazinon,,
TP,1,6/23/2015,Malathion,,
TP,1,6/23/2015,Oxadiazon,,
TP,1,6/23/2015,Piperonyl butoxide,,
TP,1,6/23/2015,Propyzamide,,
TP,1,6/23/2015,THPI (Tetrahydrophthalimide),,
TP,1,7/17/2015,Metolachlor,0.11,
TP,1,7/17/2015,Tebuconazole,,
TP,1,7/17/2015,2-Phenylphenol,,
TP,1,7/17/2015,Flutolanil,0.29,
TP,1,7/17/2015,Biphenyl,,
TP,1,7/17/2015,Atrazine,,
TP,1,7/17/2015,Metalaxyl,,
TP,1,7/17/2015,Acetochlor,,
TP,1,7/17/2015,Alachlor,,
TP,1,7/17/2015,Anthraquione,,
TP,1,7/17/2015,Endosulfan Lactone,,
TP,1,7/17/2015,DEA,,
TP,1,7/17/2015,Endosulfan ether,,
TP,1,7/17/2015,Cyprodinil,,
TP,1,7/17/2015,Triadimefon,,
TP,1,7/17/2015,Chlorothalonil,,
TP,1,7/17/2015,Diphenylamine,,
TP,1,7/17/2015,Fipronil,,
TP,1,7/17/2015,Myclobutanil,,
TP,1,7/17/2015,Oxyfluorfen,,
TP,1,7/17/2015,Bifenthrin,,
TP,1,7/17/2015,Fludioxonil,,
TP,1,7/17/2015,Endosulfan sulfate,,
TP,1,7/17/2015,Ethalfluralin,,
TP,1,7/17/2015,Pendimethalin,,
TP,1,7/17/2015,Benfluralin,,
TP,1,7/17/2015,Diazinon,,
TP,1,7/17/2015,Malathion,,
TP,1,7/17/2015,Oxadiazon,,
TP,1,7/17/2015,Piperonyl butoxide,,
TP,1,7/17/2015,Propyzamide,,
TP,1,7/17/2015,THPI (Tetrahydrophthalimide),,
TP,1,8/13/2015,Metolachlor,0.11,
TP,1,8/13/2015,Tebuconazole,,
TP,1,8/13/2015,2-Phenylphenol,,
TP,1,8/13/2015,Flutolanil,,
TP,1,8/13/2015,Biphenyl,,
TP,1,8/13/2015,Atrazine,,
TP,1,8/13/2015,Metalaxyl,,
TP,1,8/13/2015,Acetochlor,,
TP,1,8/13/2015,Alachlor,,
TP,1,8/13/2015,Anthraquione,,
TP,1,8/13/2015,Endosulfan Lactone,,
TP,1,8/13/2015,DEA,,
TP,1,8/13/2015,Endosulfan ether,,
TP,1,8/13/2015,Cyprodinil,,
TP,1,8/13/2015,Triadimefon,,
TP,1,8/13/2015,Chlorothalonil,,
TP,1,8/13/2015,Diphenylamine,,
TP,1,8/13/2015,Fipronil,,
TP,1,8/13/2015,Myclobutanil,,
TP,1,8/13/2015,Oxyfluorfen,,
TP,1,8/13/2015,Bifenthrin,,
TP,1,8/13/2015,Fludioxonil,,
TP,1,8/13/2015,Endosulfan sulfate,,
TP,1,8/13/2015,Ethalfluralin,,
TP,1,8/13/2015,Pendimethalin,,
TP,1,8/13/2015,Benfluralin,,
TP,1,8/13/2015,Diazinon,,
TP,1,8/13/2015,Malathion,,
TP,1,8/13/2015,Oxadiazon,,
TP,1,8/13/2015,Piperonyl butoxide,,
TP,1,8/13/2015,Propyzamide,,
TP,1,8/13/2015,THPI (Tetrahydrophthalimide),,
TP,1,9/17/2015,Metolachlor,,
TP,1,9/17/2015,Tebuconazole,,
TP,1,9/17/2015,2-Phenylphenol,0.17,
TP,1,9/17/2015,Flutolanil,,
TP,1,9/17/2015,Biphenyl,,
TP,1,9/17/2015,Atrazine,,
TP,1,9/17/2015,Metalaxyl,,
TP,1,9/17/2015,Acetochlor,,
TP,1,9/17/2015,Alachlor,,
TP,1,9/17/2015,Anthraquione,,
TP,1,9/17/2015,Endosulfan Lactone,,
TP,1,9/17/2015,DEA,,
TP,1,9/17/2015,Endosulfan ether,,
TP,1,9/17/2015,Cyprodinil,,
TP,1,9/17/2015,Triadimefon,,
TP,1,9/17/2015,Chlorothalonil,,
TP,1,9/17/2015,Diphenylamine,,
TP,1,9/17/2015,Fipronil,,
TP,1,9/17/2015,Myclobutanil,,
TP,1,9/17/2015,Oxyfluorfen,,
TP,1,9/17/2015,Bifenthrin,,
TP,1,9/17/2015,Fludioxonil,,
TP,1,9/17/2015,Endosulfan sulfate,,
TP,1,9/17/2015,Ethalfluralin,,
TP,1,9/17/2015,Pendimethalin,,
TP,1,9/17/2015,Benfluralin,,
TP,1,9/17/2015,Diazinon,,
TP,1,9/17/2015,Malathion,,
TP,1,9/17/2015,Oxadiazon,,
TP,1,9/17/2015,Piperonyl butoxide,,
TP,1,9/17/2015,Propyzamide,,
TP,1,9/17/2015,THPI (Tetrahydrophthalimide),,
TP,1,10/8/2015,Metolachlor,,
TP,1,10/8/2015,Tebuconazole,,
TP,1,10/8/2015,2-Phenylphenol,0.21,
TP,1,10/8/2015,Flutolanil,,
TP,1,10/8/2015,Biphenyl,,
TP,1,10/8/2015,Atrazine,,
TP,1,10/8/2015,Metalaxyl,,
TP,1,10/8/2015,Acetochlor,,
TP,1,10/8/2015,Alachlor,,
TP,1,10/8/2015,Anthraquione,,
TP,1,10/8/2015,Endosulfan Lactone,,
TP,1,10/8/2015,DEA,,
TP,1,10/8/2015,Endosulfan ether,,
TP,1,10/8/2015,Cyprodinil,,
TP,1,10/8/2015,Triadimefon,,
TP,1,10/8/2015,Chlorothalonil,,
TP,1,10/8/2015,Diphenylamine,,
TP,1,10/8/2015,Fipronil,,
TP,1,10/8/2015,Myclobutanil,,
TP,1,10/8/2015,Oxyfluorfen,,
TP,1,10/8/2015,Bifenthrin,,
TP,1,10/8/2015,Fludioxonil,,
TP,1,10/8/2015,Endosulfan sulfate,,
TP,1,10/8/2015,Ethalfluralin,,
TP,1,10/8/2015,Pendimethalin,,
TP,1,10/8/2015,Benfluralin,,
TP,1,10/8/2015,Diazinon,,
TP,1,10/8/2015,Malathion,,
TP,1,10/8/2015,Oxadiazon,,
TP,1,10/8/2015,Piperonyl butoxide,,
TP,1,10/8/2015,Propyzamide,,
TP,1,10/8/2015,THPI (Tetrahydrophthalimide),,
TP,1,11/8/2015,Metolachlor,,
TP,1,11/8/2015,Tebuconazole,,
TP,1,11/8/2015,2-Phenylphenol,0.16,
TP,1,11/8/2015,Flutolanil,,
TP,1,11/8/2015,Biphenyl,,
TP,1,11/8/2015,Atrazine,,
TP,1,11/8/2015,Metalaxyl,,
TP,1,11/8/2015,Acetochlor,,
TP,1,11/8/2015,Alachlor,,
TP,1,11/8/2015,Anthraquione,,
TP,1,11/8/2015,Endosulfan Lactone,,
TP,1,11/8/2015,DEA,,
TP,1,11/8/2015,Endosulfan ether,,
TP,1,11/8/2015,Cyprodinil,,
TP,1,11/8/2015,Triadimefon,,
TP,1,11/8/2015,Chlorothalonil,,
TP,1,11/8/2015,Diphenylamine,,
TP,1,11/8/2015,Fipronil,,
TP,1,11/8/2015,Myclobutanil,,
TP,1,11/8/2015,Oxyfluorfen,,
TP,1,11/8/2015,Bifenthrin,,
TP,1,11/8/2015,Fludioxonil,,
TP,1,11/8/2015,Endosulfan sulfate,,
TP,1,11/8/2015,Ethalfluralin,,
TP,1,11/8/2015,Pendimethalin,,
TP,1,11/8/2015,Benfluralin,,
TP,1,11/8/2015,Diazinon,,
TP,1,11/8/2015,Malathion,,
TP,1,11/8/2015,Oxadiazon,,
TP,1,11/8/2015,Piperonyl butoxide,,
TP,1,11/8/2015,Propyzamide,,
TP,1,11/8/2015,THPI (Tetrahydrophthalimide),,
TP,1,12/17/2015,Metolachlor,,
TP,1,12/17/2015,Tebuconazole,,
TP,1,12/17/2015,2-Phenylphenol,0.28,
TP,1,12/17/2015,Flutolanil,,
TP,1,12/17/2015,Biphenyl,,
TP,1,12/17/2015,Atrazine,,
TP,1,12/17/2015,Metalaxyl,,
TP,1,12/17/2015,Acetochlor,,
TP,1,12/17/2015,Alachlor,,
TP,1,12/17/2015,Anthraquione,,
TP,1,12/17/2015,Endosulfan Lactone,,
TP,1,12/17/2015,DEA,,
TP,1,12/17/2015,Endosulfan ether,,
TP,1,12/17/2015,Cyprodinil,,
TP,1,12/17/2015,Triadimefon,,
TP,1,12/17/2015,Chlorothalonil,,
TP,1,12/17/2015,Diphenylamine,,
TP,1,12/17/2015,Fipronil,,
TP,1,12/17/2015,Myclobutanil,,
TP,1,12/17/2015,Oxyfluorfen,,
TP,1,12/17/2015,Bifenthrin,,
TP,1,12/17/2015,Fludioxonil,,
TP,1,12/17/2015,Endosulfan sulfate,,
TP,1,12/17/2015,Ethalfluralin,,
TP,1,12/17/2015,Pendimethalin,,
TP,1,12/17/2015,Benfluralin,,
TP,1,12/17/2015,Diazinon,,
TP,1,12/17/2015,Malathion,,
TP,1,12/17/2015,Oxadiazon,,
TP,1,12/17/2015,Piperonyl butoxide,,
TP,1,12/17/2015,Propyzamide,,
TP,1,12/17/2015,THPI (Tetrahydrophthalimide),,
TP,1,1/17/2016,Metolachlor,,
TP,1,1/17/2016,Tebuconazole,,
TP,1,1/17/2016,2-Phenylphenol,0.28,
TP,1,1/17/2016,Flutolanil,,
TP,1,1/17/2016,Biphenyl,,
TP,1,1/17/2016,Atrazine,,
TP,1,1/17/2016,Metalaxyl,,
TP,1,1/17/2016,Acetochlor,,
TP,1,1/17/2016,Alachlor,,
TP,1,1/17/2016,Anthraquione,,
TP,1,1/17/2016,Endosulfan Lactone,,
TP,1,1/17/2016,DEA,,
TP,1,1/17/2016,Endosulfan ether,,
TP,1,1/17/2016,Cyprodinil,,
TP,1,1/17/2016,Triadimefon,,
TP,1,1/17/2016,Chlorothalonil,,
TP,1,1/17/2016,Diphenylamine,,
TP,1,1/17/2016,Fipronil,,
TP,1,1/17/2016,Myclobutanil,,
TP,1,1/17/2016,Oxyfluorfen,,
TP,1,1/17/2016,Bifenthrin,,
TP,1,1/17/2016,Fludioxonil,,
TP,1,1/17/2016,Endosulfan sulfate,,
TP,1,1/17/2016,Ethalfluralin,,
TP,1,1/17/2016,Pendimethalin,,
TP,1,1/17/2016,Benfluralin,,
TP,1,1/17/2016,Diazinon,,
TP,1,1/17/2016,Malathion,,
TP,1,1/17/2016,Oxadiazon,,
TP,1,1/17/2016,Piperonyl butoxide,,
TP,1,1/17/2016,Propyzamide,,
TP,1,1/17/2016,THPI (Tetrahydrophthalimide),,
TP,2,2/1/2015,Metolachlor,,
TP,2,2/1/2015,Tebuconazole,,
TP,2,2/1/2015,2-Phenylphenol,,
TP,2,2/1/2015,Flutolanil,,
TP,2,2/1/2015,Biphenyl,,
TP,2,2/1/2015,Atrazine,,
TP,2,2/1/2015,Metalaxyl,,
TP,2,2/1/2015,Acetochlor,,
TP,2,2/1/2015,Alachlor,,
TP,2,2/1/2015,Anthraquione,,
TP,2,2/1/2015,Endosulfan Lactone,,
TP,2,2/1/2015,DEA,,
TP,2,2/1/2015,Endosulfan ether,,
TP,2,2/1/2015,Cyprodinil,,
TP,2,2/1/2015,Triadimefon,,
TP,2,2/1/2015,Chlorothalonil,,
TP,2,2/1/2015,Diphenylamine,,
TP,2,2/1/2015,Fipronil,,
TP,2,2/1/2015,Myclobutanil,,
TP,2,2/1/2015,Oxyfluorfen,,
TP,2,2/1/2015,Bifenthrin,,
TP,2,2/1/2015,Fludioxonil,,
TP,2,2/1/2015,Endosulfan sulfate,,
TP,2,2/1/2015,Ethalfluralin,,
TP,2,2/1/2015,Pendimethalin,,
TP,2,2/1/2015,Benfluralin,,
TP,2,2/1/2015,Diazinon,,
TP,2,2/1/2015,Malathion,,
TP,2,2/1/2015,Oxadiazon,,
TP,2,2/1/2015,Piperonyl butoxide,,
TP,2,2/1/2015,Propyzamide,,
TP,2,2/1/2015,THPI (Tetrahydrophthalimide),,
TP,2,3/15/2015,Metolachlor,0.09,
TP,2,3/15/2015,Tebuconazole,,
TP,2,3/15/2015,2-Phenylphenol,,
TP,2,3/15/2015,Flutolanil,,
TP,2,3/15/2015,Biphenyl,,
TP,2,3/15/2015,Atrazine,,
TP,2,3/15/2015,Metalaxyl,,
TP,2,3/15/2015,Acetochlor,,
TP,2,3/15/2015,Alachlor,,
TP,2,3/15/2015,Anthraquione,,
TP,2,3/15/2015,Endosulfan Lactone,,
TP,2,3/15/2015,DEA,,
TP,2,3/15/2015,Endosulfan ether,,
TP,2,3/15/2015,Cyprodinil,,
TP,2,3/15/2015,Triadimefon,,
TP,2,3/15/2015,Chlorothalonil,,
TP,2,3/15/2015,Diphenylamine,,
TP,2,3/15/2015,Fipronil,,
TP,2,3/15/2015,Myclobutanil,,
TP,2,3/15/2015,Oxyfluorfen,,
TP,2,3/15/2015,Bifenthrin,,
TP,2,3/15/2015,Fludioxonil,,
TP,2,3/15/2015,Endosulfan sulfate,,
TP,2,3/15/2015,Ethalfluralin,,
TP,2,3/15/2015,Pendimethalin,,
TP,2,3/15/2015,Benfluralin,,
TP,2,3/15/2015,Diazinon,,
TP,2,3/15/2015,Malathion,,
TP,2,3/15/2015,Oxadiazon,,
TP,2,3/15/2015,Piperonyl butoxide,,
TP,2,3/15/2015,Propyzamide,,
TP,2,3/15/2015,THPI (Tetrahydrophthalimide),,
TP,2,4/12/2015,Metolachlor,0.32,
TP,2,4/12/2015,Tebuconazole,,
TP,2,4/12/2015,2-Phenylphenol,0.2,
TP,2,4/12/2015,Flutolanil,,
TP,2,4/12/2015,Biphenyl,,
TP,2,4/12/2015,Atrazine,,
TP,2,4/12/2015,Metalaxyl,,
TP,2,4/12/2015,Acetochlor,,
TP,2,4/12/2015,Alachlor,,
TP,2,4/12/2015,Anthraquione,0.29,
TP,2,4/12/2015,Endosulfan Lactone,,
TP,2,4/12/2015,DEA,,
TP,2,4/12/2015,Endosulfan ether,,
TP,2,4/12/2015,Cyprodinil,,
TP,2,4/12/2015,Triadimefon,,
TP,2,4/12/2015,Chlorothalonil,,
TP,2,4/12/2015,Diphenylamine,0.16,
TP,2,4/12/2015,Fipronil,,
TP,2,4/12/2015,Myclobutanil,,
TP,2,4/12/2015,Oxyfluorfen,,
TP,2,4/12/2015,Bifenthrin,,
TP,2,4/12/2015,Fludioxonil,,
TP,2,4/12/2015,Endosulfan sulfate,,
TP,2,4/12/2015,Ethalfluralin,,
TP,2,4/12/2015,Pendimethalin,,
TP,2,4/12/2015,Benfluralin,,
TP,2,4/12/2015,Diazinon,,
TP,2,4/12/2015,Malathion,,
TP,2,4/12/2015,Oxadiazon,,
TP,2,4/12/2015,Piperonyl butoxide,,
TP,2,4/12/2015,Propyzamide,,
TP,2,4/12/2015,THPI (Tetrahydrophthalimide),0.16,
TP,2,5/22/2015,Metolachlor,,
TP,2,5/22/2015,Tebuconazole,,
TP,2,5/22/2015,2-Phenylphenol,,
TP,2,5/22/2015,Flutolanil,,
TP,2,5/22/2015,Biphenyl,,
TP,2,5/22/2015,Atrazine,,
TP,2,5/22/2015,Metalaxyl,,
TP,2,5/22/2015,Acetochlor,,
TP,2,5/22/2015,Alachlor,,
TP,2,5/22/2015,Anthraquione,,
TP,2,5/22/2015,Endosulfan Lactone,,
TP,2,5/22/2015,DEA,,
TP,2,5/22/2015,Endosulfan ether,,
TP,2,5/22/2015,Cyprodinil,,
TP,2,5/22/2015,Triadimefon,,
TP,2,5/22/2015,Chlorothalonil,,
TP,2,5/22/2015,Diphenylamine,,
TP,2,5/22/2015,Fipronil,,
TP,2,5/22/2015,Myclobutanil,,
TP,2,5/22/2015,Oxyfluorfen,,
TP,2,5/22/2015,Bifenthrin,,
TP,2,5/22/2015,Fludioxonil,,
TP,2,5/22/2015,Endosulfan sulfate,,
TP,2,5/22/2015,Ethalfluralin,,
TP,2,5/22/2015,Pendimethalin,,
TP,2,5/22/2015,Benfluralin,,
TP,2,5/22/2015,Diazinon,,
TP,2,5/22/2015,Malathion,,
TP,2,5/22/2015,Oxadiazon,,
TP,2,5/22/2015,Piperonyl butoxide,,
TP,2,5/22/2015,Propyzamide,,
TP,2,5/22/2015,THPI (Tetrahydrophthalimide),,
TP,2,6/23/2015,Metolachlor,0.1,
TP,2,6/23/2015,Tebuconazole,,
TP,2,6/23/2015,2-Phenylphenol,,
TP,2,6/23/2015,Flutolanil,,
TP,2,6/23/2015,Biphenyl,,
TP,2,6/23/2015,Atrazine,,
TP,2,6/23/2015,Metalaxyl,,
TP,2,6/23/2015,Acetochlor,,
TP,2,6/23/2015,Alachlor,,
TP,2,6/23/2015,Anthraquione,,
TP,2,6/23/2015,Endosulfan Lactone,,
TP,2,6/23/2015,DEA,,
TP,2,6/23/2015,Endosulfan ether,,
TP,2,6/23/2015,Cyprodinil,,
TP,2,6/23/2015,Triadimefon,,
TP,2,6/23/2015,Chlorothalonil,,
TP,2,6/23/2015,Diphenylamine,,
TP,2,6/23/2015,Fipronil,,
TP,2,6/23/2015,Myclobutanil,,
TP,2,6/23/2015,Oxyfluorfen,,
TP,2,6/23/2015,Bifenthrin,,
TP,2,6/23/2015,Fludioxonil,,
TP,2,6/23/2015,Endosulfan sulfate,,
TP,2,6/23/2015,Ethalfluralin,,
TP,2,6/23/2015,Pendimethalin,,
TP,2,6/23/2015,Benfluralin,,
TP,2,6/23/2015,Diazinon,,
TP,2,6/23/2015,Malathion,,
TP,2,6/23/2015,Oxadiazon,,
TP,2,6/23/2015,Piperonyl butoxide,,
TP,2,6/23/2015,Propyzamide,,
TP,2,6/23/2015,THPI (Tetrahydrophthalimide),,
TP,2,7/17/2015,Metolachlor,,
TP,2,7/17/2015,Tebuconazole,,
TP,2,7/17/2015,2-Phenylphenol,,
TP,2,7/17/2015,Flutolanil,,
TP,2,7/17/2015,Biphenyl,,
TP,2,7/17/2015,Atrazine,,
TP,2,7/17/2015,Metalaxyl,,
TP,2,7/17/2015,Acetochlor,,
TP,2,7/17/2015,Alachlor,,
TP,2,7/17/2015,Anthraquione,,
TP,2,7/17/2015,Endosulfan Lactone,,
TP,2,7/17/2015,DEA,,
TP,2,7/17/2015,Endosulfan ether,,
TP,2,7/17/2015,Cyprodinil,,
TP,2,7/17/2015,Triadimefon,,
TP,2,7/17/2015,Chlorothalonil,,
TP,2,7/17/2015,Diphenylamine,,
TP,2,7/17/2015,Fipronil,,
TP,2,7/17/2015,Myclobutanil,,
TP,2,7/17/2015,Oxyfluorfen,,
TP,2,7/17/2015,Bifenthrin,,
TP,2,7/17/2015,Fludioxonil,,
TP,2,7/17/2015,Endosulfan sulfate,,
TP,2,7/17/2015,Ethalfluralin,,
TP,2,7/17/2015,Pendimethalin,,
TP,2,7/17/2015,Benfluralin,,
TP,2,7/17/2015,Diazinon,,
TP,2,7/17/2015,Malathion,,
TP,2,7/17/2015,Oxadiazon,,
TP,2,7/17/2015,Piperonyl butoxide,,
TP,2,7/17/2015,Propyzamide,,
TP,2,7/17/2015,THPI (Tetrahydrophthalimide),,
TP,2,8/13/2015,Metolachlor,,
TP,2,8/13/2015,Tebuconazole,,
TP,2,8/13/2015,2-Phenylphenol,,
TP,2,8/13/2015,Flutolanil,,
TP,2,8/13/2015,Biphenyl,,
TP,2,8/13/2015,Atrazine,,
TP,2,8/13/2015,Metalaxyl,,
TP,2,8/13/2015,Acetochlor,,
TP,2,8/13/2015,Alachlor,,
TP,2,8/13/2015,Anthraquione,,
TP,2,8/13/2015,Endosulfan Lactone,,
TP,2,8/13/2015,DEA,,
TP,2,8/13/2015,Endosulfan ether,,
TP,2,8/13/2015,Cyprodinil,,
TP,2,8/13/2015,Triadimefon,,
TP,2,8/13/2015,Chlorothalonil,,
TP,2,8/13/2015,Diphenylamine,,
TP,2,8/13/2015,Fipronil,,
TP,2,8/13/2015,Myclobutanil,,
TP,2,8/13/2015,Oxyfluorfen,,
TP,2,8/13/2015,Bifenthrin,,
TP,2,8/13/2015,Fludioxonil,,
TP,2,8/13/2015,Endosulfan sulfate,,
TP,2,8/13/2015,Ethalfluralin,,
TP,2,8/13/2015,Pendimethalin,,
TP,2,8/13/2015,Benfluralin,,
TP,2,8/13/2015,Diazinon,,
TP,2,8/13/2015,Malathion,,
TP,2,8/13/2015,Oxadiazon,,
TP,2,8/13/2015,Piperonyl butoxide,,
TP,2,8/13/2015,Propyzamide,,
TP,2,8/13/2015,THPI (Tetrahydrophthalimide),,
TP,2,9/17/2015,Metolachlor,,
TP,2,9/17/2015,Tebuconazole,,
TP,2,9/17/2015,2-Phenylphenol,,
TP,2,9/17/2015,Flutolanil,,
TP,2,9/17/2015,Biphenyl,,
TP,2,9/17/2015,Atrazine,,
TP,2,9/17/2015,Metalaxyl,,
TP,2,9/17/2015,Acetochlor,,
TP,2,9/17/2015,Alachlor,,
TP,2,9/17/2015,Anthraquione,,
TP,2,9/17/2015,Endosulfan Lactone,,
TP,2,9/17/2015,DEA,,
TP,2,9/17/2015,Endosulfan ether,,
TP,2,9/17/2015,Cyprodinil,,
TP,2,9/17/2015,Triadimefon,,
TP,2,9/17/2015,Chlorothalonil,,
TP,2,9/17/2015,Diphenylamine,,
TP,2,9/17/2015,Fipronil,,
TP,2,9/17/2015,Myclobutanil,,
TP,2,9/17/2015,Oxyfluorfen,,
TP,2,9/17/2015,Bifenthrin,,
